id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
56423;dkny women summer 2020;Donna Karan;;women;3,7;10;2020;Mandarin Orange, Sorbet, Pear and Raspberry;Passion Flower, Lily and Orange Blossom;Sandalwood, Amber and Musk;;;white floral;citrus;floral;sweet;powdery
56424;dkny women summer 2021;Donna Karan;;women;3,4;15;2021;Mandarin Orange, Fig and Bergamot;Turkish Rose, Egyptian Rose and Geranium;Musk, White Amber and Cedar;;;citrus;fruity;sweet;musky;
56425;dkny women summer 2022;Donna Karan;;women;4,0;13;2022;Black Currant;Orange Blossom;Cashmeran;;;woody;musky;powdery;fruity;white floral
56426;dkny sweet delicious creamy meringue;Donna Karan;;women;4,05;583;2012;Custard, Sweet Notes, Amalfi Lemon and Bergamot;Frangipani, Passion Flower and Freesia;Musk, Amber and Virginia Cedar;;;sweet;citrus;lactonic;;
56427;dkny sweet delicious pink macaron;Donna Karan;;women;3,87;423;2012;Nectarine and Kumquat;Marzipan, Pomegranate and Rose;Tonka Bean, Amber and Woodsy Notes;;;sweet;nutty;fruity;citrus;almond
56428;dkny sweet delicious tart key lime;Donna Karan;;women;3,89;235;2012;Lime, Sweet Notes, Bergamot, Orange and Mandarin Orange;Basil, Ginger and Neroli;Violet Leaf;;;citrus;sweet;fresh spicy;green;aromatic
56429;chaos;Donna Karan;;women;4,42;152;2008;;;;;;aromatic;woody;warm spicy;soft spicy;herbal
56430;fuel for men;Donna Karan;;men;4,69;85;2008;Pineapple, Citruses and Juniper;Amber, Almond, Lavender and Floral Notes;Sandalwood, Musk and Patchouli;;;woody;fruity;sweet;aromatic;floral
56431;iris;Donna Karan;;women;4,06;70;2010;;;;;;floral;violet;powdery;iris;earthy
56432;mandarin neroli;Donna Karan;;women;4,33;9;2012;Mandarin Orange;Neroli;Incense, Amber and Woody Notes;;;citrus;amber;woody;smoky;white floral
56433;signature;Donna Karan;;women;4,11;54;2008;;;;;;woody;warm spicy;floral;amber;powdery
56434;essence jasmine;Donna Karan;;women;4,16;55;2008;;;;;;white floral;;;;
56435;essence labdanum;Donna Karan;;women;4,41;124;2008;;;;Rodrigo Flores-Roux;;amber;leather;musky;animalic;green
