id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
6831;emporio-armani-diamonds-rose;giorgio-armani;Italy;women;3,82;353;2013;raspberry, black currant, bergamot;rose, freesia, lily-of-the-valley;ambrette (musk mallow), patchouli;unknown;unknown;fruity;floral;rose;citrus;sweet
6832;si;giorgio-armani;Italy;women;3,82;17074;2013;cassis;may rose, freesia;vanilla, patchouli, woody notes, ambroxan;christine nagel;unknown;woody;vanilla;aromatic;soft spicy;fruity
6833;si-passione-red-maestro;giorgio-armani;Italy;women;3,82;119;2019;black currant, pink pepper;solar notes, jasmine;musk, vanilla;unknown;unknown;musky;fruity;vanilla;soft spicy;powdery
6834;colonia-futura;acqua-di-parma;Italy;unisex;3,82;616;2020;lemon, bergamot, grapefruit, pink pepper;lavender, sage;vetiver;unknown;unknown;citrus;aromatic;fresh spicy;woody;lavender
6835;samourai-woman;alain-delon;France;women;3,82;92;2001;black currant, nutmeg, yuzu, nectarine, bergamot, cardamom;peony, magnolia, rose, camellia, mimosa, ylang-ylang;tagetes, spices, incense, amber;unknown;unknown;floral;citrus;fresh spicy;sweet;warm spicy
6836;oud-pour-elle;alyssa-ashley;USA;women;3,82;141;2012;plum, calabrian bergamot, sicilian lemon;moroccan rose, myrrh, black tea, heliotrope;agarwood (oud), black musk, sandalwood, indonesian patchouli leaf;luca maffei;unknown;powdery;woody;oud;musky;warm spicy
6837;crimson-rocks;amouage;Oman;unisex;3,82;1395;2020;cinnamon, pink pepper;honey, rose;oak, atlas cedar, vetiver;domitille michalon bertier;unknown;woody;cinnamon;rose;honey;warm spicy
6838;eclats-precieux;givenchy;France;women;3,82;194;2016;rhubarb, cupcake, mandarin orange;turkish rose, hyacinth;tonka bean, patchouli;unknown;unknown;sweet;green;rose;floral;citrus
6839;dahlia-divin;givenchy;France;women;3,82;3187;2014;mirabelle, citruses, pink pepper;jasmine sambac, peach, orange blossom, rose, black currant, apple, lily-of-the-valley;patchouli, sandalwood, vetiver, vanilla, white musk, cedar;françois demachy;unknown;woody;fruity;white floral;patchouli;sweet
6840;dahlia-divin-nude-eau-de-parfum;givenchy;France;women;3,82;592;2017;apricot, orange blossom;osmanthus, jasmine sambac, rose;white musk, white wood;unknown;unknown;fruity;white floral;floral;powdery;musky
6841;ange-ou-demon;givenchy;France;women;3,82;12023;2006;saffron, thyme, mandarin orange;lily, ylang-ylang, orchid;vanilla, tonka bean, brazilian rosewood, oakmoss;jean-pierre bethouart;olivier cresp;vanilla;sweet;warm spicy;white floral;aromatic
6842;insense-ultramarine-for-her;givenchy;France;women;3,82;38;2004;green leaves, grapefruit, bergamot;seagrass, rose, orchid;white musk, cedar, amber;unknown;unknown;citrus;green;marine;rose;powdery
6843;fanos;gritti;Italy;unisex;3,82;62;2014;guatemalan cardamom, ginger, cinnamon;mimosa, violet, sandalwood;orange blossom, amber, vanilla;unknown;unknown;warm spicy;powdery;cinnamon;aromatic;yellow floral
6844;gucci-bloom-nettare-di-fiori;gucci;Italy;women;3,82;1523;2018;ginger, rose;tuberose, jasmine, honeysuckle, rangoon creeper;musk, osmanthus, patchouli;alberto morillas;unknown;white floral;tuberose;fruity;floral;warm spicy
6845;gucci-guilty-eau-pour-homme;gucci;Italy;men;3,82;611;2015;lemon, bergamot;orris, snowberry, orange blossom;musk, patchouli;unknown;unknown;citrus;powdery;iris;fresh;musky
6846;la-petite-robe-noire-ma-premiere-robe-2016;guerlain;France;women;3,82;45;2016;red berries, sour cherry, bergamot;almond, black rose;patchouli, licorice, tonka bean, black tea;thierry wasser;unknown;sweet;fruity;almond;patchouli;nutty
6847;eau-de-basilic-pourpre;hermes;France;unisex;3,82;438;2022;bergamot;basil, geranium;spices, patchouli;christine nagel;unknown;fresh spicy;aromatic;citrus;green;herbal
6848;boss-the-scent-for-her;hugo-boss;Germany;women;3,82;3316;2016;peach, freesia;osmanthus;cacao;unknown;unknown;fruity;floral;sweet;cacao;lactonic
6849;boss-the-scent-for-her-eau-de-toilette;hugo-boss;Germany;women;3,82;283;2018;peach, green mandarin, pink pepper, honey;freesia, orange blossom, osmanthus;cacao;unknown;unknown;floral;fruity;sweet;citrus;soft spicy
6850;kokorico-by-night;jean-paul-gaultier;France;men;3,82;349;2012;bergamot;cacao pod, fig leaf, rhubarb;tonka bean, woody notes;annick menardo;olivier cresp;green;cacao;sweet;warm spicy;woody
6851;stars-edition-2015;jimmy-choo;UK;women;3,82;34;2015;pear, candied orange;orchid;toffee;unknown;unknown;sweet;floral;fruity;aquatic;unknown
6852;tuberose;jo-malone-london;UK;women;3,82;99;1991;african orange flower;tuberose, jasmine, peach;sandalwood, oakmoss;jo malone;unknown;white floral;tuberose;woody;animalic;mossy
