id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
65552|lei|Officine del Profumo|unknown|women|4,0|2|2013|Bergamot, Orange and Ivy|Rose and Jasmine|Vanilla, Patchouli, Amber and Oakmoss|Andrea Marcoccia|unknown|citrus|vanilla|rose|patchouli|woody
25780|azzaro pour homme elixir|Azzaro|unknown|men|4,0|779|2009|unknown|unknown|unknown|Michel Girard|unknown|vanilla|fruity|aromatic|sweet|amber
4051|301-sandalwood-amber-cardamom|bon-parfumeur|France|unisex|3,71|175|2017|cardamom, cypress, cumin, thyme, ylang-ylang|cedar, coconut nectar, jasmine|sandalwood, amber, benzoin, patchouli|nathalie koobus|unknown|woody|warm spicy|aromatic|amber|powdery
18579|tobacco-blaze|rasasi|UAE|men|4,17|581|2013|saffron, neroli, lily-of-the-valley|apricot, violet, coumarin, amber, cedar|leather, agarwood (oud), patchouli|unknown|unknown|leather|warm spicy|woody|powdery|animalic
29257|green tea lavender|Elizabeth Arden|unknown|women|3,81|1000|2010|Amalfi Lemon, Chamomile, Mint and Mandarin Orange|Lavender, Tea and Magnolia|Musk, Ambrette (Musk Mallow) and Birch|unknown|unknown|lavender|aromatic|green|citrus|fresh spicy
78531|blue lagoon|Mel Merio|unknown|women|0|0|2012|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown
73493|fruity rings|Somethin Special|unknown|unisex|5,0|1|2009|unknown|unknown|unknown|Sue Faunt|unknown|citrus|vanilla|aromatic|sweet|unknown
32046|jimmy choo man aqua|Jimmy Choo|unknown|men|3,98|432|2022|Grapefruit and Cardamom|Sea water and Clary Sage|Patchouli and Moss|Julien Rasquinet|Paul Guerlain|aromatic|marine|warm spicy|citrus|patchouli
62689|pêche délicieuse|Le Monde Gourmand|unknown|unisex|4,26|43|2024|Peach, Cinnamon and Orange|Caramel, White Rose and Cocoa|Vanilla|unknown|unknown|fruity|sweet|vanilla|caramel|powdery
29111|d&g anthology la roue de la fortune 10 dolce&gabbana|Dolce Gabbana|unknown|women|3,89|1567|2009|Pineapple, Pink Pepper and Green Notes|Gardenia, Tuberose and Jasmine|Patchouli, Benzoin, Vanille and Iris|Aurélien Guichard|unknown|white floral|vanilla|patchouli|warm spicy|amber
39451|ode a l'amour passionnement|Yves Rocher|unknown|women|3,73|489|2008|Sichuan Pepper and Green Apple|Plum|Vanilla|unknown|unknown|fruity|vanilla|sweet|fresh spicy|citrus
