estrutura;caso;algoritmo;tamanho;tempo_ms_medio
ListaArranjo;caso_qualquer;mergeSort;91134;137,2929
ListaArranjo;caso_qualquer;quickSort;91134;127,7467
ListaArranjo;caso_qualquer;heapSort;91134;156,4148
ListaApontador;caso_qualquer;insertionSort;91134;186917,1781
ListaApontador;caso_qualquer;mergeSort;91134;201,1621
ListaApontador;caso_qualquer;shellSort;91134;222,0602
ListaApontador;caso_qualquer;heapSort;91134;173,2598
ListaApontador;caso_qualquer;quickSort;91134;159,5168
ListaDupla;caso_qualquer;insertionSort;91134;148568,4538
ListaDupla;caso_qualquer;mergeSort;91134;200,7130
ListaDupla;caso_qualquer;quickSort;91134;423,7651
ListaDupla;caso_qualquer;shellSort;91134;214,1729
ListaDupla;caso_qualquer;heapSort;91134;179,0092
ListaArranjo;caso_ordem_decrescente;bubbleSort;1000;2,3337
ListaArranjo;caso_ordem_decrescente;selectionSort;1000;1,5969
ListaArranjo;caso_ordem_decrescente;insertionSort;1000;1,8191
ListaArranjo;caso_ordem_decrescente;shellSort;1000;1,2235
ListaArranjo;caso_ordem_decrescente;mergeSort;1000;1,2513
ListaArranjo;caso_ordem_decrescente;quickSort;1000;1,5205
ListaArranjo;caso_ordem_decrescente;heapSort;1000;1,2611
ListaApontador;caso_ordem_decrescente;bubbleSort;1000;3,0423
ListaApontador;caso_ordem_decrescente;selectionSort;1000;3,0914
ListaApontador;caso_ordem_decrescente;insertionSort;1000;1,2624
ListaApontador;caso_ordem_decrescente;mergeSort;1000;1,3263
ListaApontador;caso_ordem_decrescente;shellSort;1000;1,3109
ListaApontador;caso_ordem_decrescente;heapSort;1000;1,3814
ListaApontador;caso_ordem_decrescente;quickSort;1000;1,6142
ListaDupla;caso_ordem_decrescente;bubbleSort;1000;3,2909
ListaDupla;caso_ordem_decrescente;selectionSort;1000;3,3913
ListaDupla;caso_ordem_decrescente;insertionSort;1000;3,2466
ListaDupla;caso_ordem_decrescente;mergeSort;1000;1,3461
ListaDupla;caso_ordem_decrescente;quickSort;1000;3,0009
ListaDupla;caso_ordem_decrescente;shellSort;1000;1,3161
ListaDupla;caso_ordem_decrescente;heapSort;1000;1,3953
ListaArranjo;caso_ordem_decrescente;bubbleSort;10000;191,9720
ListaArranjo;caso_ordem_decrescente;selectionSort;10000;75,2994
ListaArranjo;caso_ordem_decrescente;insertionSort;10000;98,8817
ListaArranjo;caso_ordem_decrescente;shellSort;10000;11,7375
ListaArranjo;caso_ordem_decrescente;mergeSort;10000;11,9302
ListaArranjo;caso_ordem_decrescente;quickSort;10000;56,4522
ListaArranjo;caso_ordem_decrescente;heapSort;10000;12,2120
ListaApontador;caso_ordem_decrescente;bubbleSort;10000;569,9836
ListaApontador;caso_ordem_decrescente;selectionSort;10000;629,7862
ListaApontador;caso_ordem_decrescente;insertionSort;10000;12,2349
ListaApontador;caso_ordem_decrescente;mergeSort;10000;13,2918
ListaApontador;caso_ordem_decrescente;shellSort;10000;12,7988
ListaApontador;caso_ordem_decrescente;heapSort;10000;14,2910
ListaApontador;caso_ordem_decrescente;quickSort;10000;63,2025
ListaDupla;caso_ordem_decrescente;bubbleSort;10000;576,5494
ListaDupla;caso_ordem_decrescente;selectionSort;10000;625,8343
ListaDupla;caso_ordem_decrescente;insertionSort;10000;545,6748
ListaDupla;caso_ordem_decrescente;mergeSort;10000;13,1633
ListaDupla;caso_ordem_decrescente;quickSort;10000;445,3969
ListaDupla;caso_ordem_decrescente;shellSort;10000;12,9674
ListaDupla;caso_ordem_decrescente;heapSort;10000;13,3680
ListaArranjo;caso_ordem_decrescente;insertionSort;50000;5808,6183
ListaArranjo;caso_ordem_decrescente;shellSort;50000;66,5377
ListaArranjo;caso_ordem_decrescente;mergeSort;50000;58,7751
ListaArranjo;caso_ordem_decrescente;quickSort;50000;2570,2474
ListaArranjo;caso_ordem_decrescente;heapSort;50000;64,0959
ListaApontador;caso_ordem_decrescente;insertionSort;50000;68,6214
ListaApontador;caso_ordem_decrescente;mergeSort;50000;82,7455
ListaApontador;caso_ordem_decrescente;shellSort;50000;74,3018
ListaApontador;caso_ordem_decrescente;heapSort;50000;72,5502
ListaApontador;caso_ordem_decrescente;quickSort;50000;2790,6778
ListaDupla;caso_ordem_decrescente;insertionSort;50000;76316,3356
ListaDupla;caso_ordem_decrescente;mergeSort;50000;76,0476
ListaDupla;caso_ordem_decrescente;quickSort;50000;70290,9942
ListaDupla;caso_ordem_decrescente;shellSort;50000;78,1076
ListaDupla;caso_ordem_decrescente;heapSort;50000;77,3209
ListaArranjo;caso_ordem_decrescente;insertionSort;91134;33722,2318
ListaArranjo;caso_ordem_decrescente;shellSort;91134;139,0495
ListaArranjo;caso_ordem_decrescente;mergeSort;91134;112,3181
ListaArranjo;caso_ordem_decrescente;quickSort;91134;15442,8245
ListaArranjo;caso_ordem_decrescente;heapSort;91134;124,5524
ListaApontador;caso_ordem_decrescente;insertionSort;91134;138,6400
ListaApontador;caso_ordem_decrescente;mergeSort;91134;182,2843
ListaApontador;caso_ordem_decrescente;shellSort;91134;160,3327
ListaApontador;caso_ordem_decrescente;heapSort;91134;156,8220
ListaApontador;caso_ordem_decrescente;quickSort;91134;16236,9955
ListaDupla;caso_ordem_decrescente;insertionSort;91134;327781,9038
ListaDupla;caso_ordem_decrescente;mergeSort;91134;176,7420
ListaDupla;caso_ordem_decrescente;quickSort;91134;292526,8518
ListaDupla;caso_ordem_decrescente;shellSort;91134;178,5963
ListaDupla;caso_ordem_decrescente;heapSort;91134;160,5120
